origin,airport_name,state,region,delayed_time,pct_greater,total_flights
HPN,Westchester County,New York,Northeast,58.15800865800866,0.25132275132275134,11604
HRL,Valley International,Texas,South,47.49574829931973,0.21428571428571427,4484
HSV,Huntsville International-Carl T Jones Field,Alabama,South,51.674823724595605,0.25673994193280797,9707
HTS,Tri-State/Milton J. Ferguson Field,West Virginia,South,43.45294117647059,0.18529411764705883,711
HVN,Tweed New Haven,Connecticut,Northeast,58.87692307692308,0.3076923076923077,1083
HYA,Barnstable Municipal-Boardman/Polando Field,Massachusetts,Northeast,60.52173913043478,0.2391304347826087,83
HYS,Hays Regional,Kansas,Midwest,117.9202657807309,0.4318936877076412,1251
IAD,Washington Dulles International,Virginia,South,57.8782310289478,0.2714341063818011,68703
IAG,Niagara Falls International,New York,Northeast,35.71207430340557,0.14551083591331268,847
IAH,George Bush Intercontinental/Houston,Texas,South,49.663609387644996,0.25814225339447894,178945
ICT,Wichita Dwight D Eisenhower National,Kansas,Midwest,55.69225473321859,0.25438898450946645,10653
IDA,Idaho Falls Regional,Idaho,West,43.321266968325794,0.20361990950226244,2120
ILM,Wilmington International,North Carolina,South,44.65712923223653,0.2145922746781116,6878
IMT,Ford,Michigan,Midwest,91.74691358024691,0.35802469135802467,678
IND,Indianapolis International,Indiana,Midwest,42.08658637873754,0.19760520487264674,49135
INL,Falls International Einarson Field,Minnesota,Midwest,71.225,0.3333333333333333,648
ISN,Sloulin Field International,North Dakota,Midwest,64.6938775510204,0.25170068027210885,633
ISP,Long Island MacArthur,New York,Northeast,34.90802248339295,0.16760347470618292,5564
ITH,Ithaca Tompkins Regional,New York,Northeast,85.5669014084507,0.35563380281690143,999
ITO,Hilo International,Hawaii,West,17.085318985395848,0.0415065334358186,6118
JAC,Jackson Hole,Wyoming,West,67.94514767932489,0.28621659634317864,4585
JAN,Jackson Medgar Wiley Evers International,Mississippi,South,53.04090328078398,0.2488282914358756,8199
JAX,Jacksonville International,Florida,South,44.64367816091954,0.2019704433497537,33932
JFK,John F. Kennedy International,New York,Northeast,49.34873723804406,0.23333589212149125,122981
JLN,Joplin Regional,Missouri,Midwest,62.457142857142856,0.2935064935064935,1386
JMS,Jamestown Regional,North Dakota,Midwest,125.36929460580913,0.3900414937759336,989
JNU,Juneau International,Alaska,West,32.34349030470914,0.13665743305632502,4515
KOA,Ellison Onizuka Kona International at Keahole,Hawaii,West,27.959141681363903,0.08994708994708994,15479
KTN,Ketchikan International,Alaska,West,36.47292418772563,0.17328519855595667,2383
LAN,Capital Region International,Michigan,Midwest,60.00330033003301,0.28052805280528054,3286
LAR,Laramie Regional,Wyoming,West,103.89473684210526,0.39849624060150374,625
LAS,McCarran International,Nevada,West,32.60659844203452,0.14175958454253856,164020
LAW,Lawton-Fort Sill Regional,Oklahoma,South,51.57492354740061,0.22018348623853212,1335
LAX,Los Angeles International,California,West,33.54559975206513,0.1511091509422717,219952
LBB,Lubbock Preston Smith International,Texas,South,50.414419372592185,0.23555310952118877,7096
LBE,Arnold Palmer Regional,Pennsylvania,Northeast,46.07692307692308,0.23481781376518218,1119
LBF,North Platte Regional Airport Lee Bird Field,Nebraska,Midwest,84.87209302325581,0.38372093023255816,625
LBL,Liberal Mid-America Regional,Kansas,Midwest,88.6962962962963,0.4,625
LCH,Lake Charles Regional,Louisiana,South,55.6608040201005,0.24874371859296482,1977
LCK,Rickenbacker International,Ohio,Midwest,44.88247422680412,0.1979381443298969,1035
LEX,Blue Grass,Kentucky,South,56.57473309608541,0.26868327402135234,9153
LFT,Lafayette Regional Paul Fournet Field,Louisiana,South,59.557877813504824,0.3062700964630225,5229
LGA,LaGuardia,New York,Northeast,52.92566868881842,0.2763683992830553,171665
LGB,Long Beach Airport,California,West,37.337530266343826,0.1808716707021792,15818
LIH,Lihue Airport,Hawaii,West,30.81510710259301,0.09413754227733935,14063
LIT,Bill and Hillary Clinton Nat Adams Field,Arkansas,South,42.45650095602294,0.18666347992351817,14265
